"","NAME","ABBREVIATION","DESCRIPTION","LINK"
"1","Australia","AUS","Australia and all of its islands (for example, Groote Eylandt, Tasmania, etc).","http://www.allelefrequencies.net/datasets.asp"
"2","Europe","EUR","An area bounded by Franz Joseph Land, Svalbard, Iceland, the northern coast of the Mediterranean and Black Seas, and those areas of Russia west of the Caspian Sea and Kazakhstan. Includes Mediterranean islands that are part of European nations, with the exception of Cyprus and islands that are part of Turkey. ","http://www.allelefrequencies.net/datasets.asp"
"3","None of the Above","NTA","The population area is unknown.","http://www.allelefrequencies.net/datasets.asp"
"4","North Africa","NAF","Nations on the African continent north of a line drawn between Nouadhibou in Mauritania and Djiubouti. Includes all of Western Sahara, Morocco, Algeria, Lyibia, Egypt, Eritrea, and Djibouti and northern areas of Mauritania, Mali, Niger, Chad, Sudan, and Ethiopia. ","http://www.allelefrequencies.net/datasets.asp"
"5","North America","NAM","Canada, the United States, Mexico, the Carribean, the Aleutian islands, and Greenland. ","http://www.allelefrequencies.net/datasets.asp"
"6","North-East Asia","NEA","Russia north and east of Kazakhstan (and associated islands), Kazakhstan, Uzbekistan, Kyrgyztan, Tajikistan, Mongolia, China east and north of Mongolia and east of the Bohai Sea, the Korean pennisula, and the islands of Japan.","http://www.allelefrequencies.net/datasets.asp"
"7","Oceania","OCE","An area of the Pacific bounded by the Hawaiian Islands, Easter Island, the islands of New Zealand, the Sunda Islands, Madagascar, those areas of Borneo not part of Malaysia, and the Phillipines.","http://www.allelefrequencies.net/datasets.asp"
"8","Other","OTH","This category is for populations derived from more than one of the other regions defined here. ","http://www.allelefrequencies.net/datasets.asp"
"9","South America","SAM","All of the South American and the Central American nations, and associated islands.","http://www.allelefrequencies.net/datasets.asp"
"10","South-East Asia","SEA","China west and south of Mongolia, Taiwan, Vietnam, Laos, Cambodia, Thailand, Malaysia (including the Malaysian area of Borneo), Singapore, and Burma. ","http://www.allelefrequencies.net/datasets.asp"
"11","South-West Asia","SWA","Cyprus, Turkey (and associated islands), Georgia, Armenia, Azerbaijan, Syria, Lebanon, Israel, the Palestinian Territories, Jordan, the Saudi peninsula, Iraq, Kuwait, Iran, Turkmenistan, Afghanistan, Pakistan, India, Sri Lanka, and Bangladesh.","http://www.allelefrequencies.net/datasets.asp"
"12","Sub-Saharan Africa","SSA","The area on the African continent south of the Sahara, defined by a line drawn between Nouadhibou in Mauritania and Djiubouti, and the islands associated with the nations of that area. Includes the southern areas of Mauritania, Mali, Niger, Chad, Sudan, and Ethiopia. Madagascar is not included in this region.","http://www.allelefrequencies.net/datasets.asp"
