"","PLANNED_VISIT_ACCESSION","END_RULE","MAX_START_DAY","MIN_START_DAY","NAME","ORDER_NUMBER","START_RULE","STUDY_ACCESSION","WORKSPACE_ID"
"1","PV2338",NA,-7,-7,"Day -7",1,NA,"SDY180",2799
"2","PV2339",NA,0,0,"Day 0",2,NA,"SDY180",2799
"3","PV2340",NA,0.0625,0.0625,"Day 0, Hour 1.5",3,NA,"SDY180",2799
"4","PV2341",NA,0.125,0.125,"Day 0, Hour 3",4,NA,"SDY180",2799
"5","PV2342",NA,0.25,0.25,"Day 0, Hour 6",5,NA,"SDY180",2799
"6","PV2343",NA,0.375,0.375,"Day 0, Hour 9",6,NA,"SDY180",2799
"7","PV2344",NA,0.5,0.5,"Day 0, Hour 12",7,NA,"SDY180",2799
"8","PV2345",NA,0.625,0.625,"Day 0, Hour 15",8,NA,"SDY180",2799
"9","PV2346",NA,1,1,"Day 1",9,NA,"SDY180",2799
"10","PV2347",NA,1.5,1.5,"Day 1, Hour 12",10,NA,"SDY180",2799
"11","PV2348",NA,2,2,"Day 2",11,NA,"SDY180",2799
"12","PV2349",NA,3,3,"Day 3",12,NA,"SDY180",2799
"13","PV2350",NA,7,7,"Day 7",13,NA,"SDY180",2799
"14","PV2351",NA,10,10,"Day 10",14,NA,"SDY180",2799
"15","PV2352",NA,14,14,"Day 14",15,NA,"SDY180",2799
"16","PV2353",NA,21,21,"Day 21",16,NA,"SDY180",2799
"17","PV2354",NA,28,28,"Day 28",17,NA,"SDY180",2799
