"","REAGENT_SET_ACCESSION","REAGENT_ACCESSION","WORKSPACE_ID"
"1","ESR11134","ESR11061",2799
"2","ESR11134","ESR11066",2799
"3","ESR11134","ESR11068",2799
"4","ESR11134","ESR11069",2799
"5","ESR11134","ESR11072",2799
"6","ESR11134","ESR11077",2799
"7","ESR11134","ESR11080",2799
"8","ESR11134","ESR11099",2799
"9","ESR11135","ESR11053",2799
"10","ESR11135","ESR11054",2799
"11","ESR11135","ESR11067",2799
"12","ESR11135","ESR11078",2799
"13","ESR11135","ESR11081",2799
"14","ESR11135","ESR11097",2799
"15","ESR11135","ESR11111",2799
"16","ESR11136","ESR11059",2799
"17","ESR11136","ESR11060",2799
"18","ESR11136","ESR11097",2799
"19","ESR11136","ESR11111",2799
"20","ESR11137","ESR11058",2799
"21","ESR11137","ESR11062",2799
"22","ESR11137","ESR11064",2799
"23","ESR11137","ESR11079",2799
"24","ESR11137","ESR11080",2799
"25","ESR11137","ESR11083",2799
"26","ESR11137","ESR11087",2799
"27","ESR11137","ESR11096",2799
"28","ESR11139","ESR11055",2799
"29","ESR11139","ESR11056",2799
"30","ESR11139","ESR11074",2799
"31","ESR11139","ESR11078",2799
"32","ESR11139","ESR11080",2799
"33","ESR11139","ESR11081",2799
"34","ESR11139","ESR11085",2799
"35","ESR11139","ESR11090",2799
"36","ESR11139","ESR11091",2799
"37","ESR11139","ESR11098",2799
"38","ESR11140","ESR11056",2799
"39","ESR11140","ESR11057",2799
"40","ESR11140","ESR11074",2799
"41","ESR11140","ESR11078",2799
"42","ESR11140","ESR11080",2799
"43","ESR11140","ESR11081",2799
"44","ESR11140","ESR11085",2799
"45","ESR11140","ESR11090",2799
"46","ESR11140","ESR11091",2799
"47","ESR11140","ESR11095",2799
"48","ESR11142","ESR11065",2799
"49","ESR11142","ESR11071",2799
"50","ESR11142","ESR11074",2799
"51","ESR11142","ESR11080",2799
"52","ESR11142","ESR11082",2799
"53","ESR11142","ESR11096",2799
"54","ESR11142","ESR11113",2799
"55","ESR11142","ESR11115",2799
"56","ESR11142","ESR11118",2799
"57","ESR11147","ESR11070",2799
"58","ESR11147","ESR11074",2799
"59","ESR11147","ESR11078",2799
"60","ESR11147","ESR11080",2799
"61","ESR11147","ESR11085",2799
"62","ESR11147","ESR11089",2799
"63","ESR11147","ESR11092",2799
"64","ESR11148","ESR11052",2799
"65","ESR11148","ESR11057",2799
"66","ESR11148","ESR11075",2799
"67","ESR11148","ESR11076",2799
"68","ESR11148","ESR11078",2799
"69","ESR11148","ESR11081",2799
"70","ESR11148","ESR11086",2799
"71","ESR11148","ESR11094",2799
"72","ESR11148","ESR11096",2799
"73","ESR11148","ESR11110",2799
"74","ESR11149","ESR11061",2799
"75","ESR11149","ESR11066",2799
"76","ESR11149","ESR11068",2799
"77","ESR11149","ESR11069",2799
"78","ESR11149","ESR11072",2799
"79","ESR11149","ESR11077",2799
"80","ESR11149","ESR11080",2799
"81","ESR11149","ESR11099",2799
"82","ESR11150","ESR11058",2799
"83","ESR11150","ESR11062",2799
"84","ESR11150","ESR11064",2799
"85","ESR11150","ESR11079",2799
"86","ESR11150","ESR11080",2799
"87","ESR11150","ESR11083",2799
"88","ESR11150","ESR11096",2799
"89","ESR11150","ESR11119",2799
"90","ESR11150","ESR11120",2799
"91","ESR11151","ESR11056",2799
"92","ESR11151","ESR11075",2799
"93","ESR11151","ESR11078",2799
"94","ESR11151","ESR11080",2799
"95","ESR11151","ESR11081",2799
"96","ESR11151","ESR11085",2799
"97","ESR11151","ESR11090",2799
"98","ESR11151","ESR11091",2799
"99","ESR11151","ESR11098",2799
"100","ESR11152","ESR11054",2799
"101","ESR11152","ESR11060",2799
"102","ESR11152","ESR11067",2799
"103","ESR11152","ESR11080",2799
"104","ESR11152","ESR11121",2799
"105","ESR11152","ESR11122",2799
"106","ESR11152","ESR11123",2799
"107","ESR11152","ESR11124",2799
"108","ESR11152","ESR11125",2799
"109","ESR11152","ESR11126",2799
"110","ESR11153","ESR11067",2799
"111","ESR11153","ESR11080",2799
"112","ESR11153","ESR11124",2799
"113","ESR11153","ESR11125",2799
"114","ESR11153","ESR11126",2799
"115","ESR11153","ESR11127",2799
"116","ESR11153","ESR11128",2799
"117","ESR11153","ESR11129",2799
"118","ESR11153","ESR11130",2799
"119","ESR11154","ESR11070",2799
"120","ESR11154","ESR11074",2799
"121","ESR11154","ESR11078",2799
"122","ESR11154","ESR11080",2799
"123","ESR11154","ESR11085",2799
"124","ESR11154","ESR11132",2799
