"","STANDARD_CURVE_ACCESSION","FILE_INFO_ID","RESULT_SCHEMA"
"1","SC10",388484,"MBAA"
"2","SC100",388487,"MBAA"
"3","SC101",388487,"MBAA"
"4","SC102",388487,"MBAA"
"5","SC103",388487,"MBAA"
"6","SC104",388487,"MBAA"
"7","SC105",388487,"MBAA"
"8","SC106",388487,"MBAA"
"9","SC107",388487,"MBAA"
"10","SC108",388487,"MBAA"
"11","SC109",388487,"MBAA"
"12","SC11",388484,"MBAA"
"13","SC110",388487,"MBAA"
"14","SC111",388487,"MBAA"
"15","SC112",388487,"MBAA"
"16","SC113",388487,"MBAA"
"17","SC114",388487,"MBAA"
"18","SC115",388487,"MBAA"
"19","SC116",388487,"MBAA"
"20","SC117",388487,"MBAA"
"21","SC118",388487,"MBAA"
"22","SC119",388487,"MBAA"
"23","SC12",388484,"MBAA"
"24","SC120",388487,"MBAA"
"25","SC121",388487,"MBAA"
"26","SC122",388487,"MBAA"
"27","SC123",388487,"MBAA"
"28","SC124",388487,"MBAA"
"29","SC125",388487,"MBAA"
"30","SC126",388487,"MBAA"
"31","SC127",388487,"MBAA"
"32","SC128",388487,"MBAA"
"33","SC129",388487,"MBAA"
"34","SC13",388484,"MBAA"
"35","SC130",388487,"MBAA"
"36","SC131",388487,"MBAA"
"37","SC132",388487,"MBAA"
"38","SC133",388487,"MBAA"
"39","SC134",388487,"MBAA"
"40","SC135",388487,"MBAA"
"41","SC14",388484,"MBAA"
"42","SC15",388484,"MBAA"
"43","SC16",388484,"MBAA"
"44","SC17",388484,"MBAA"
"45","SC18",388484,"MBAA"
"46","SC19",388484,"MBAA"
"47","SC20",388484,"MBAA"
"48","SC21",388484,"MBAA"
"49","SC22",388484,"MBAA"
"50","SC23",388484,"MBAA"
"51","SC24",388484,"MBAA"
"52","SC25",388484,"MBAA"
"53","SC26",388484,"MBAA"
"54","SC27",388484,"MBAA"
"55","SC28",388484,"MBAA"
"56","SC29",388484,"MBAA"
"57","SC30",388484,"MBAA"
"58","SC31",388484,"MBAA"
"59","SC32",388484,"MBAA"
"60","SC33",388484,"MBAA"
"61","SC34",388484,"MBAA"
"62","SC35",388484,"MBAA"
"63","SC36",388484,"MBAA"
"64","SC37",388484,"MBAA"
"65","SC38",388484,"MBAA"
"66","SC39",388484,"MBAA"
"67","SC40",388484,"MBAA"
"68","SC41",388484,"MBAA"
"69","SC42",388484,"MBAA"
"70","SC43",388484,"MBAA"
"71","SC44",388484,"MBAA"
"72","SC45",388484,"MBAA"
"73","SC46",388484,"MBAA"
"74","SC47",388484,"MBAA"
"75","SC48",388484,"MBAA"
"76","SC49",388484,"MBAA"
"77","SC50",388484,"MBAA"
"78","SC51",388484,"MBAA"
"79","SC52",388486,"MBAA"
"80","SC53",388486,"MBAA"
"81","SC54",388486,"MBAA"
"82","SC55",388486,"MBAA"
"83","SC56",388486,"MBAA"
"84","SC57",388486,"MBAA"
"85","SC58",388486,"MBAA"
"86","SC59",388486,"MBAA"
"87","SC60",388486,"MBAA"
"88","SC61",388486,"MBAA"
"89","SC62",388486,"MBAA"
"90","SC63",388486,"MBAA"
"91","SC64",388486,"MBAA"
"92","SC65",388486,"MBAA"
"93","SC66",388486,"MBAA"
"94","SC67",388486,"MBAA"
"95","SC68",388486,"MBAA"
"96","SC69",388486,"MBAA"
"97","SC70",388486,"MBAA"
"98","SC71",388486,"MBAA"
"99","SC72",388486,"MBAA"
"100","SC73",388486,"MBAA"
"101","SC74",388486,"MBAA"
"102","SC75",388486,"MBAA"
"103","SC76",388486,"MBAA"
"104","SC77",388486,"MBAA"
"105","SC78",388486,"MBAA"
"106","SC79",388486,"MBAA"
"107","SC80",388486,"MBAA"
"108","SC81",388486,"MBAA"
"109","SC82",388486,"MBAA"
"110","SC83",388486,"MBAA"
"111","SC84",388486,"MBAA"
"112","SC85",388486,"MBAA"
"113","SC86",388486,"MBAA"
"114","SC87",388486,"MBAA"
"115","SC88",388486,"MBAA"
"116","SC89",388486,"MBAA"
"117","SC90",388486,"MBAA"
"118","SC91",388486,"MBAA"
"119","SC92",388486,"MBAA"
"120","SC93",388486,"MBAA"
"121","SC94",388487,"MBAA"
"122","SC95",388487,"MBAA"
"123","SC96",388487,"MBAA"
"124","SC97",388487,"MBAA"
"125","SC98",388487,"MBAA"
"126","SC99",388487,"MBAA"
